paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
22568_2000;2000;geo;MT;180084,27;72,03;8;27;16;4;0;0;1;56;100750917,6;256274318;387568785,6;675758358,5;170014,43;154475,38;141357,43;112508,44;1,2651;203,4041;62,3666;477,546;234,7769784;7,1337;100,9068;791,9323;793,6383;793,7254;793,7254;94,8247;86,0094;78,8756;62,724;
22568_2005;2005;geo;MT;163588,17;65,44;7;11;7;3;2;0;3;33;112192780,8;288783765;433147831,3;723461919,5;152375,58;134730,97;120305,99;91241,98;1,2267;152,8686;63,0667;471,9398;308,7225238;7,2779;84,945;640,3673;650,7067;659,0929;674,6043;93,683;82,6488;73,9911;56,0391;
22568_2010;2010;geo;MT;154111,33;61,64;7;10;12;6;1;0;3;39;119556827;303516331,8;450469517,6;739376163,4;142162,1;123781,08;109097,69;80173,72;1,2205;140,4315;63,125;430,2849;306,4019825;7,8815;104,8823;710,4351;722,4985;731,7463;749,0126;92,8539;80,6376;71,2688;52,2897;
22568_2015;2015;geo;MT;153658,45;61,46;6;10;12;7;1;0;3;39;120491835,7;306667278,1;456281507,2;747837292,4;141617,11;123014,66;108065,56;78874,72;1,2198;132,3853;63,1335;408,6885;308,7113902;7,8957;100,2736;749,3428;762,1251;771,677;789,7755;92,7782;80,3819;70,8192;51,6007;
22668_1985;1985;geo;MT;240909,3;96,36;2;19;1;0;0;0;1;23;70540967,05;201964623,1;334435580,4;662503060,8;233857,8;220727,8;207494,81;174658,99;1,1823;115,8554;60,0126;79,5772;68,68665595;4,2098;92,9032;435,888;435,8899;435,8899;435,8899;97,4248;91,8931;86,6056;72,8814;
22668_1990;1990;geo;MT;237120,89;94,85;5;26;6;1;0;0;1;39;89061025,53;254570506,4;418379735,4;815379811,1;228218,1;211683,89;195321,09;155582,9;1,2217;95,8661;60,1129;44,4359;46,35204728;5,2518;102,6075;599,5642;599,9765;600;600;96,7105;89,6515;82,9546;66,0842;
22668_1995;1995;geo;MT;232115,85;92,85;11;25;7;1;0;0;1;45;99476813,94;283120053,2;463950342,9;890810330,8;222172,66;203827,54;185764,56;143034,82;1,2536;110,8877;60,1112;84,3137;76,035214;6,0182;113,2927;632,0808;632,4439;632,4555;632,4555;96,2516;88,2543;80,6807;62,1365;
22668_2000;2000;geo;MT;225677,25;90,27;13;32;9;1;0;0;2;57;117694546;332129662,8;540117846,9;1010456287;213912,51;192492,39;171716,84;124631,62;1,2248;142,177;60,311;116,1882;81,72081279;7,0611;119,5934;693,9633;695,8332;696,7177;698,7494;95,4441;85,8474;76,8428;55,8028;
22668_2005;2005;geo;MT;187118,82;74,85;17;46;16;3;1;1;3;87;175843540,8;462860658,1;713708671,8;1193676612;169542,35;140870,6;115809,47;67751,16;1,2614;173,6448;61,2507;181,8182;104,706965;11,8428;127,7499;861,848;866,6235;869,0347;871,7798;91,8257;76,1725;62,9544;36,8672;
22668_2010;2010;geo;MT;181220,09;72,49;33;49;17;2;1;3;4;109;181430990,8;477885619,3;733990961,8;1208886838;163084,03;133469,87;107882,69;60331,4;1,2452;152,3914;61,0849;191,5972;125,7270423;11,6099;130,2468;949,4122;959,8415;966,0886;976,6328;91,2921;74,6017;60,6324;33,9634;
22668_2015;2015;geo;MT;173868,71;69,55;24;53;20;3;2;4;8;114;192805913,4;502325511,2;764180966,9;1231081941;154595,98;123676,54;97514,33;50760,51;1,236;144,7178;61,167;146,8484;101,4722446;8,0101;153,008;660,1621;672,0973;680,6463;693,0605;90,3645;72,1711;57,252;29,8561;
22668_2_1985;1985;geo;MT;210114,36;84,05;1;9;3;0;1;0;3;17;104680263,1;279415699,6;439291821,3;784926742,5;199662,18;182251,82;166279,35;131621,69;1,221;278,8396;67,38;237,6012;85,21070895;4,9876;159,8247;341,7833;346,4539;350,6631;359,0449;95,7114;87,2396;79,7923;63,1573;
22668_2_1990;1990;geo;MT;199544,94;79,82;5;12;3;0;2;2;5;29;117900563,5;309429937,6;479668115,1;846114073,1;187760,82;168627,72;151619,98;114933,53;1,1779;158,4225;61,7677;203,891;128,7007843;5,5649;166,174;424,289;431,6958;438,3875;452,8211;94,9217;85,0939;76,7117;58,1439;
22668_2_1995;1995;geo;MT;187107,3;74,84;5;16;13;2;1;3;6;46;128151086,4;334031935,8;515532122;883504228,5;174297,54;153730,65;135598,88;98756,88;1,2151;212,67;62,0631;351,3107;165,1905299;6,1917;174,8296;564,544;576,8819;587,5753;609,3352;94;82,7945;73,249;53,3232;
22668_2_2000;2000;geo;MT;168636,33;67,45;11;42;20;0;2;2;6;83;157338206,2;382191835;572908107,2;944536263,6;152908,27;130445,45;111392,69;74182,7;1,2736;168,7426;62,0052;260,9939;154,6698344;8,1809;153,7727;742,3142;764,0274;782,1444;816,8656;91,7651;78,1081;66,9513;44,5793;
